"","Opponent","Section","Day_and_Time","Face","Wtp","lower_bound","upper_bound","Net"
"90","Alcorn State","207","Saturday Afternoon",15,16.8614588009283,7.99593699686921,35.5566574632497,1.86145880092834
"91","Alcorn State","208","Saturday Afternoon",15,14.3820542151134,6.81728754195437,30.3410237830694,-0.617945784886626
"92","Alcorn State","221","Saturday Afternoon",15,14.1080326575193,6.68889188743565,29.7562868132909,-0.891967342480742
"93","Alcorn State","222","Saturday Afternoon",15,16.9544539938288,8.04156441182182,35.7459687578048,1.9544539938288
"94","Alcorn State","223","Saturday Afternoon",35,19.3485801769573,9.17419956376319,40.8065632606079,-15.6514198230427
"95","Alcorn State","225","Saturday Afternoon",45,23.3202493976641,11.0569791290997,49.1846846791988,-21.6797506023359
"96","Alcorn State","227","Saturday Afternoon",35,19.0983727638979,9.0579145028277,40.2684130121709,-15.9016272361021
"97","Alcorn State","228","Saturday Afternoon",15,15.2778964216972,7.24783454717969,32.2046698986715,0.27789642169723
"98","Alcorn State","229","Saturday Afternoon",15,14.6519470508777,6.93914836310265,30.9374495468686,-0.348052949122286
"99","Alcorn State","203L","Saturday Afternoon",35,18.92409254707,8.95880512244517,39.9742235527418,-16.07590745293
"100","Alcorn State","203U","Saturday Afternoon",35,18.5091437536178,8.77100613252037,39.0591908517623,-16.4908562463822
"101","Alcorn State","204L","Saturday Afternoon",45,22.6680947578364,10.7172800885905,47.9452357037195,-22.3319052421636
"102","Alcorn State","204U","Saturday Afternoon",45,17.0246541019897,8.07243087619343,35.904779085463,-27.9753458980103
"103","Alcorn State","205L","Saturday Afternoon",45,21.0715442361925,9.9556500586796,44.5987930351887,-23.9284557638075
"104","Alcorn State","205U","Saturday Afternoon",45,15.6687618567199,7.42803396448743,33.0518276163457,-29.3312381432801
"105","Alcorn State","206L","Saturday Afternoon",35,20.4860658200831,9.70026925823014,43.2646642698813,-14.5139341799169
"106","Alcorn State","206U","Saturday Afternoon",35,16.6138074545866,7.87492214506671,35.0503272354242,-18.3861925454134
"107","Alcorn State","210L","Saturday Afternoon",30,14.8317500750742,6.91519811885198,31.8112086607845,-15.1682499249258
"108","Alcorn State","210U","Saturday Afternoon",15,12.6327025230604,5.99201853263672,26.6329571857839,-2.36729747693956
"109","Alcorn State","211L","Saturday Afternoon",30,17.0265863189017,8.04599083816979,36.0309435476506,-12.9734136810983
"110","Alcorn State","211U","Saturday Afternoon",15,13.2220651682273,6.26926876128297,27.8857094773958,-1.7779348317727
"111","Alcorn State","212","Saturday Afternoon",15,13.0451196530109,6.18729063258785,27.503984678702,-1.95488034698906
"112","Alcorn State","213L","Saturday Afternoon",30,16.75447488159,7.93140081446543,35.3925410056019,-13.24552511841
"113","Alcorn State","213U","Saturday Afternoon",15,12.3942438976757,5.87867029131927,26.1312974163407,-2.60575610232434
"114","Alcorn State","214L","Saturday Afternoon",30,19.4769576686966,9.13601146008662,41.5227018579729,-10.5230423313034
"115","Alcorn State","214U","Saturday Afternoon",15,13.493690970365,6.39959348880045,28.4517596816667,-1.50630902963503
"116","Alcorn State","215L","Saturday Afternoon",30,20.1195410305487,9.52328803050136,42.5059002713605,-9.88045896945131
"117","Alcorn State","215U","Saturday Afternoon",15,14.3378410773145,6.79920011020712,30.2349810898659,-0.662158922685528
