Opponent,id,Day,Time,prediction,lower_bound,upper_bound
Alcorn State,207,Thursday,Night,27.04282699,14.34211863,50.99068768
Alcorn State,206U,Thursday,Night,24.61930982,12.75406069,47.52293648
Alcorn State,225,Thursday,Night,37.1228301,19.59802911,70.31852575
Alcorn State,106,Thursday,Night,80.9734405,42.90134543,152.8319917
Alcorn State,224L,Thursday,Night,37.38267596,19.88081184,70.29212254
Alcorn State,218,Thursday,Night,24.78039543,13.13272276,46.75862036
Alcorn State,204U,Thursday,Night,21.81202363,11.57641587,41.09772662
Alcorn State,208,Thursday,Night,18.16450615,9.560637566,34.5112218
Alcorn State,224U,Thursday,Night,18.14299221,9.625924693,34.19600473
Alcorn State,206L,Thursday,Night,32.45546738,16.94909064,62.1483114
Alcorn State,130,Thursday,Night,44.58954547,20.70653322,96.01933572
Alcorn State,229,Thursday,Night,41.95915823,22.00513167,80.00729039
Alcorn State,203L,Thursday,Night,28.89135264,15.12555421,55.1854329
Alcorn State,203U,Thursday,Night,23.50016083,12.12828672,45.53467211
Alcorn State,204L,Thursday,Night,40.60438245,20.75882299,79.42241595
Alcorn State,226U,Thursday,Night,20.25641385,10.71166504,38.30611773
Alcorn State,110,Thursday,Night,26.85981355,13.90570271,51.88156246
Alcorn State,131,Thursday,Night,21.68526995,11.51616137,40.83399997
Alcorn State,205U,Thursday,Night,22.18008847,11.73261132,41.93067605
Alcorn State,205L,Thursday,Night,35.30323194,18.21784871,68.41192968
Alcorn State,TT3,Thursday,Night,69.79738842,32.40435075,150.3401647
Alcorn State,TT1,Thursday,Night,208.2654901,85.85967823,505.1790929
Clemson,128,Saturday,Noon,55.18840912,29.53085443,103.138245
Clemson,123,Saturday,Noon,55.68614892,29.78758771,104.1019908
Clemson,111,Saturday,Noon,38.27653535,20.47918804,71.54058818
Clemson,228,Saturday,Noon,31.83029078,17.03047696,59.49142901
Clemson,109,Saturday,Noon,57.46794473,30.73399232,107.4564163
Clemson,217,Saturday,Noon,27.18710967,14.54474573,50.81827801
Clemson,CL2,Saturday,Noon,133.8166583,71.56339599,250.2242634
Clemson,108,Saturday,Noon,73.64553379,39.3974543,137.6653579
Clemson,129,Saturday,Noon,46.65885908,24.96699079,87.19709753
Clemson,211,Saturday,Noon,26.41901534,14.12610043,49.40955751
Clemson,127,Saturday,Noon,78.16657023,41.81183074,146.1311929
Clemson,122,Saturday,Noon,44.81405365,23.96566171,83.79903835
Clemson,210,Saturday,Noon,25.7997742,13.80043567,48.23241561
Clemson,216,Saturday,Noon,25.59396178,13.68978425,47.84961308
Clemson,215,Saturday,Noon,31.40020096,16.793925,58.71007646
Clemson,121,Saturday,Noon,39.3745921,21.06044977,73.61469107
Clemson,213,Saturday,Noon,25.99573911,13.90636559,48.59490049
Clemson,212,Saturday,Noon,25.64246968,13.71558407,47.94081301
Clemson,101,Saturday,Noon,32.86608754,17.58313979,61.43269761
Clemson,103,Saturday,Noon,54.75842453,29.28948677,102.3741071
Clemson,226L,Saturday,Noon,46.62258493,24.92288428,87.21564491
Clemson,CL3,Saturday,Noon,138.0203051,73.77787966,258.2021157
Clemson,132,Saturday,Noon,31.27058095,16.72866304,58.45351958
Clemson,124,Saturday,Noon,70.96247114,37.93451799,132.7464425
Clemson,202,Saturday,Noon,30.75697491,16.45282844,57.49719626
Clemson,105,Saturday,Noon,88.08892741,47.11654944,164.6907345
Clemson,219,Saturday,Noon,22.31541465,11.93009505,41.74130455
Clemson,227,Saturday,Noon,34.88589423,18.66029607,65.22005931
Clemson,221,Saturday,Noon,29.49557326,15.76997685,55.16741403
