	Opponent	Section	Day	Time	prediction	lower_bound	upper_bound
166	Alcorn State	208	Saturday	Night	12.632907273835	6.64498613894733	24.0166559948001
167	Alcorn State	224U	Saturday	Night	12.6179449312927	6.69031016688909	23.7974817785117
168	Alcorn State	206L	Saturday	Night	22.5718721236237	11.7803152248517	43.2492171423736
169	Alcorn State	130	Saturday	Night	31.0107849179696	14.3932567815752	66.8138417748235
170	Alcorn State	229	Saturday	Night	29.181423977368	15.2944096030017	55.6775663429194
171	Alcorn State	203L	Saturday	Night	20.093129750403	10.5128572656425	38.4038185780368
172	Alcorn State	203U	Saturday	Night	16.3437062494067	8.42975141040089	31.6873797295277
173	Alcorn State	204L	Saturday	Night	28.2392152187107	14.4285189518884	55.2692399564885
174	Alcorn State	226U	Saturday	Night	14.0877707221711	7.44495727685523	26.6576793580063
175	Alcorn State	110	Saturday	Night	18.6802509902075	9.66511431626541	36.1042576050961
176	Alcorn State	131	Saturday	Night	15.0815002801916	8.00381826234184	28.417892966359
177	Alcorn State	205U	Saturday	Night	15.4256327516495	8.15454575551746	29.1800613943164
178	Alcorn State	205L	Saturday	Night	24.5524129257293	12.6622955447872	47.6075588619227
179	Alcorn State	TT3	Saturday	Night	48.542136446255	22.5244958759543	104.61228627462
180	Alcorn State	TT1	Saturday	Night	144.842838192643	59.6858738090274	351.497706858188
181	Alcorn State	128	Thursday	Night	38.5664528333887	20.5616014058073	72.3373269812492
182	Alcorn State	123	Thursday	Night	36.8300715302627	19.6112969043143	69.1669793967506
183	Alcorn State	111	Thursday	Night	26.9268413162282	14.3568576607374	50.5023313877512
184	Alcorn State	228	Thursday	Night	18.1516254075653	9.67479118023573	34.0556709492247
185	Alcorn State	109	Thursday	Night	46.0838182147933	24.5025242529289	86.6734496140843
186	Alcorn State	217	Thursday	Night	16.2436804949605	8.65451659225562	30.4877982738479
187	Alcorn State	CL2	Thursday	Night	104.837804535498	55.7478526779409	197.154952735467
188	Alcorn State	108	Thursday	Night	60.2706953337478	32.0900493231631	113.198851127705
189	Alcorn State	129	Thursday	Night	31.7779507472217	16.9427576053392	59.6029393334775
190	Alcorn State	211	Thursday	Night	15.1753825846829	8.06653006296495	28.5491078312366
191	Alcorn State	127	Thursday	Night	55.0378504138914	29.317547162201	103.322592487798
192	Alcorn State	122	Thursday	Night	30.5120530723977	16.2195978009313	57.398795834466
193	Alcorn State	210	Thursday	Night	14.9600698999637	7.97450370311008	28.0649053212571
194	Alcorn State	216	Thursday	Night	15.1896774891841	8.08072813837886	28.5526623683337
195	Alcorn State	215	Thursday	Night	18.0422837259891	9.60466333891114	33.8922865448395
196	Alcorn State	121	Thursday	Night	26.9838929889969	14.3657321364139	50.68523302032
197	Alcorn State	213	Thursday	Night	15.4101631162067	8.2093927416402	28.9270028541297
198	Alcorn State	212	Thursday	Night	15.8426595656947	8.43479405363749	29.7564896686789
199	Alcorn State	101	Thursday	Night	20.802302709283	11.0834337317058	39.043477723942
200	Alcorn State	103	Thursday	Night	38.5651184359789	20.5279599055936	72.4508605249084
